"ObjNAME","ObjTYPE","ObjREFERENCE"
"/ASBHA-ESDV-381252","SCINST","/ASBH-20""-GPS-381204-AD5",""
"/ASBHA-XCV-381201","SCINST","/ASBH-20""-GPS-381204-AD5",""
"/ASBHA-XCV-381202","SCINST","/ASBH-20""-GPS-381204-AD5",""
"/ASBHA-XCV-383708","SCINST","/ASBH-12""-GPS-343702-AD4",""
"/ASBHA-PCV-340237","SCINST","/ASBH-12""-GPS-343702-AD4",""
"/ASBHA-PSV-383707","SCINST","/ASBH-3""-GPS-383702-AD4",""
"/ASBHA-ESDV-383751","SCINST","/ASBH-18""-GPS-383704-AD5",""
"/ASBHA-ESDV-383752","SCINST","/ASBH-18""-GPS-383704-AD5",""
"/ASBHA-XCV-383701","SCINST","/ASBH-18""-GPS-383704-AD5",""
"/ASBHA-XCV-383702","SCINST","/ASBH-18""-GPS-383704-AD5",""
"/ASBHA-SDV-341221","SCINST","/ASBH-34""-GPS-340106-AD4",""
"/ASBHA-BDV-341251","SCINST","/ASBH-10""-FHS-400023-AD4",""
"/ASBHA-RO-341201","SCINST","/ASBH-10""-FHS-400023-AD4",""
"/ASBHA-SDV-341222","SCINST","/ASBH-30""-GPS-340011-AX2",""
"/ASBHA-PCV-341220","SCINST","/ASBH-30""-GPS-340110-AX2",""
"/ASBHA-SDV-341223","SCINST","/ASBH-4""-OCS-340315-BD1",""
"/ASBHA-PSV-341207","SCINST","/ASBH-6""-GPS-340112-AX2",""
"/ASBHA-BDV-341224","SCINST","/ASBH-3""-GPS-340109-AX1",""
"/ASBHA-RO-341252","SCINST","/ASBH-3""-GPS-340109-AX1",""
"/ASBHA-FE-341341","SCINST","/ASBH-3""-OCS-340318-BD1",""
"/ASBHA-FCV-341341","SCINST","/ASBH-3""-OCS-340318-BD1",""
"/ASBHA-XCV-341310","SCINST","/ASBH-3""-OCS-340316-BD1",""
"/ASBHA-FO-341311","SCINST","/ASBH-2""-OCS-340319-BD1",""
"/ASBHA-XCV-341410","SCINST","/ASBH-3""-OCS-340321-BD1",""
"/ASBHA-FO-341411","SCINST","/ASBH-2""-OCS-340322-BD1",""
"/ASBHA-XCV-380108","SCINST","/ASBH-10""-OCS-340102-BD1",""
"/ASBHA-PSV-380105","SCINST","/ASBH-3""-OCS-380102-BD1",""
"/ASBHA-ESDV-380151","SCINST","/ASBH-10""-OCS-380104-BD2",""
"/ASBHA-ESDV-380152","SCINST","/ASBH-10""-OCS-380104-BD2",""
"/ASBHA-XCV-380101","SCINST","/ASBH-10""-OCS-380104-BD2",""
"/ASBHA-XCV-380102","SCINST","/ASBH-10""-OCS-380104-BD2",""
"/ASBHA-PSV-380205","SCINST","/ASBH-3""-OCS-380202-BD1",""
"/ASBHA-ESDV-380251","SCINST","/ASBH-16""-OCS-380204-BD2",""
"/ASBHA-ESDV-380252","SCINST","/ASBH-16""-OCS-380204-BD2",""
"/ASBHA-XCV-380201","SCINST","/ASBH-16""-OCS-380204-BD2",""
"/ASBHA-XCV-380202","SCINST","/ASBH-16""-OCS-380204-BD2",""
"/ASBHA-XCV-380208","SCINST","/ASBH-14""-OCS-340202-BD1",""
"/ASBHA-XCV-380308","SCINST","/ASBH-8""-OCS-340302-BD1",""
"/ASBHA-PSV-380305","SCINST","/ASBH-3""-OCS-380302-BD1",""
"/ASBHA-ESDV-380351","SCINST","/ASBH-10""-OCS-380304-BD2",""
"/ASBHA-ESDV-380352","SCINST","/ASBH-10""-OCS-380304-BD2",""
"/ASBHA-XCV-380301","SCINST","/ASBH-10""-OCS-380304-BD2",""
"/ASBHA-XCV-380302","SCINST","/ASBH-10""-OCS-380304-BD2",""
"/ASBHA-XCV-380408","SCINST","/ASBH-14""-OCS-340402-BD1",""
"/ASBHA-PSV-380405","SCINST","/ASBH-3""-OCS-380402-BD1",""
"/ASBHA-ESDV-380451","SCINST","/ASBH-16""-OCS-380404-BD2",""
"/ASBHA-ESDV-380452","SCINST","/ASBH-16""-OCS-380404-BD2",""
