,ObjNAME_x,ObjTYPE_x,Path,ObjREFERENCE,ObjREFERENCEtype,ObjNAME_y,ObjTYPE_y
45,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-2""-DPS-500175-AX2/B01",SCBRAN,,
46,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-4""-DPS-500163-AX2/B04",SCBRAN,,
47,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-4""-DPS-500163-AX2/B05",SCBRAN,,
48,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-4""-DPS-500163-AX2/B06",SCBRAN,,
49,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-4""-DPS-500162-AX2/B01",SCBRAN,,
50,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-3""-DPS-500165-AX1/B05",SCBRAN,,
51,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-3""-DPS-500165-AX1/B04",SCBRAN,,
52,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-3""-DPS-500165-AX1/B03",SCBRAN,,
53,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-2""-DPS-500186-AX1/B01",SCBRAN,,
54,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-3""-DPS-500166-AX1/B01",SCBRAN,,
55,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-2""-DPS-500167-AX1/B01",SCBRAN,,
56,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-4""-DPS-500162-AX2/B02",SCBRAN,,
57,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-4""-DPS-500164-AX2/B01",SCBRAN,,
58,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-2""-DPS-500187-AX1/B01",SCBRAN,,
59,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-2""-DPS-500188-AX1/B01",SCBRAN,,
60,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-3""-DPS-500166-AX1/B02",SCBRAN,,
61,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-3""-DPS-500166-AX1/B03",SCBRAN,,
62,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-3""-DPS-500166-AX1/B04",SCBRAN,,
63,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-2""-DPS-500176-AX2/B01",SCBRAN,,
64,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-4""-DPS-500164-AX2/B04",SCBRAN,,
65,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-4""-DPS-500164-AX2/B05",SCBRAN,,
66,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-4""-DPS-500164-AX2/B06",SCBRAN,,
67,/ASBHA-EP-3824,SCEQUI,/ASBHA-EP-3824/N4,"/ASBH-2""-GPS-382406-FD1/B01",SCBRAN,,
68,/ASBHA-EP-3824,SCEQUI,/ASBHA-EP-3824/N6,"/ASBH-3""-GPS-382402-FD1/B01",SCBRAN,,
69,/ASBHA-EP-3824,SCEQUI,/ASBHA-EP-3824/N9,"/ASBH-2""-GPS-382403-FD1/B01",SCBRAN,,
70,/ASBHA-EP-3824,SCEQUI,/ASBHA-EP-3824/N2,"/ASBH-10""-GPS-382404-FD7/B01",SCBRAN,,
71,/ASBHA-EP-3824,SCEQUI,/ASBHA-EP-3824/N3,"/ASBH-4""-GPS-382401-FD1/B01",SCBRAN,,
72,/ASBHA-EP-3824,SCEQUI,/ASBHA-EP-3824/N6,"/ASBH-2""-GPS-384036-FD1/B01",SCBRAN,,
73,/ASBHA-EP-3824,SCEQUI,/ASBHA-EP-3824/N2,"/ASBH-8""-GPS-382413-FD7/B01",SCBRAN,,
74,/ASBHA-EP-3824,SCEQUI,/ASBHA-EP-3824/N3,"/ASBH-2""-GPS-384037-FD1/B01",SCBRAN,,
75,/ASBHA-EP-3824,SCEQUI,/ASBHA-EP-3824/N2,"/ASBH-8""-GPS-382413-FD7/B02",SCBRAN,,
76,/ASBHA-EP-3820,SCEQUI,/ASBHA-EP-3820/N4,"/ASBH-2""-GPS-382006-ED1/B01",SCBRAN,,
77,/ASBHA-EP-3820,SCEQUI,/ASBHA-EP-3820/N6,"/ASBH-3""-GPS-382002-ED1-P/B01",SCBRAN,,
78,/ASBHA-EP-3820,SCEQUI,/ASBHA-EP-3820/N9,"/ASBH-2""-GPS-382003-ED1-P/B01",SCBRAN,,
79,/ASBHA-EP-3820,SCEQUI,/ASBHA-EP-3820/N2,"/ASBH-10""-GPS-382004-ED3-P/B01",SCBRAN,,
80,/ASBHA-EP-3820,SCEQUI,/ASBHA-EP-3820/N3,"/ASBH-4""-GPS-382001-ED1-P/B01",SCBRAN,,
81,/ASBHA-EP-3820,SCEQUI,/ASBHA-EP-3820/N6,"/ASBH-2""-GPS-384030-ED1/B01",SCBRAN,,
82,/ASBHA-EP-3820,SCEQUI,/ASBHA-EP-3820/N2,"/ASBH-8""-GPS-382013-ED3-P/B01",SCBRAN,,
83,/ASBHA-EP-3820,SCEQUI,/ASBHA-EP-3820/N3,"/ASBH-2""-GPS-384031-ED1/B01",SCBRAN,,
84,/ASBHA-EP-3817,SCEQUI,/ASBHA-EP-3817/N4,"/ASBH-2""-GPS-381706-ED1/B01",SCBRAN,,
85,/ASBHA-EP-3817,SCEQUI,/ASBHA-EP-3817/N6,"/ASBH-3""-GPS-381702-ED1-P/B01",SCBRAN,,
86,/ASBHA-EP-3817,SCEQUI,/ASBHA-EP-3817/N2,"/ASBH-6""-GPS-381704-ED3-P/B01",SCBRAN,,
87,/ASBHA-EP-3817,SCEQUI,/ASBHA-EP-3817/N3,"/ASBH-2""-GPS-381701-ED1-P/B01",SCBRAN,,
88,/ASBHA-EP-3817,SCEQUI,/ASBHA-EP-3817/N6,"/ASBH-2""-GPS-384024-ED1/B01",SCBRAN,,
89,/ASBHA-EP-3817,SCEQUI,/ASBHA-EP-3817/N3,"/ASBH-2""-GPS-381703-ED1-P/B01",SCBRAN,,
90,/ASBHA-T-3907,SCEQUI,/ASBHA-T-3907/N1,"/ASBH-2""-CF-390007-AS1/B01",SCBRAN,,
91,/ASBHA-T-3907,SCEQUI,/ASBHA-T-3907/N5,"/ASBH-3""-CI-390032-AS1/B01",SCBRAN,,
92,/ASBHA-T-3907,SCEQUI,/ASBHA-T-3907/N4,"/ASBH-0.5""-CI-392086-IT1/B01",SCBRAN,,
93,/ASBHA-T-3907,SCEQUI,/ASBHA-T-3907/N5,"/ASBH-3""-CI-390032-AS1/B02",SCBRAN,,
94,/ASBHA-T-3907,SCEQUI,/ASBHA-T-3907/N4,"/ASBH-0.5""-CI-392094-IT1/B01",SCBRAN,,
95,/ASBHA-T-3907,SCEQUI,/ASBHA-T-3907/N4,"/ASBH-0.5""-CI-392090-IT1/B01",SCBRAN,,
96,/ASBHA-EJ-3409,SCEQUI,/ASBHA-EJ-3409/N,"/ASBH-2""-WOS-340160-BM1/B04",SCBRAN,,
97,/ASBHA-EJ-3409,SCEQUI,=1073763642/38730,"/ASBH-4""-WOS-340165-BM1/B01",SCBRAN,,
98,/ASBHA-EJ-3409,SCEQUI,/ASBHA-EJ-3409/N,"/ASBH-2""-WOS-340068-BM1/B01",SCBRAN,,
99,/ASBHA-EJ-3409,SCEQUI,/ASBHA-EJ-3409/N,"/ASBH-2""-WOS-340068-BM1/B02",SCBRAN,,
100,/ASBHA-EJ-3409,SCEQUI,/ASBHA-EJ-3409/N,"/ASBH-2""-WI-349002-BM1/B01",SCBRAN,,
