"ObjNAME","ObjTYPE","ObjREFERENCE", "ref type"
"/=1140875506/37772/B02","SCBRAN","=1140875506/37802","tail"
"/=1140875506/37803/B01","SCBRAN","Unset","head"
"/=1140875506/37803/B01","SCBRAN","=1140875506/37780","tail"
"/=1140875506/37809/B01","SCBRAN","/PFD-ASBJA-E-3425","head"
"/=1140875506/37809/B01","SCBRAN","Unset","tail"
"/=1140875506/37819/B01","SCBRAN","=1140875506/37711","head"
"/=1140875506/37819/B01","SCBRAN","=1140875506/37832","tail"
"/=1140875506/37823/B01","SCBRAN","/=1140875506/37829/B01","head"
"/=1140875506/37823/B01","SCBRAN","=1140875506/37844","tail"
"/=1140875506/37829/B01","SCBRAN","/=1140875506/37823/B01","head"
"/=1140875506/37829/B01","SCBRAN","/PFD-ASBJA-E-3426","tail"
"/=1140875506/37836/B01","SCBRAN","Unset","head"
"/=1140875506/37836/B01","SCBRAN","=1140875506/37784","tail"
"/=1140875506/37836/B02","SCBRAN","=1140891890/23124","head"
"/=1140875506/37836/B02","SCBRAN","=1140875506/37851","tail"
"/=1140875506/37852/B01","SCBRAN","=1140875506/37797","head"
"/=1140875506/37852/B01","SCBRAN","/PFD-ASBJA-E-3426","tail"
"/=1140875506/37859/B01","SCBRAN","/PFD-ASBJA-E-3426","head"
"/=1140875506/37859/B01","SCBRAN","=1140875506/37815","tail"
"/=1140875506/33919/B01","SCBRAN","=1140867314/249604","head"
"/=1140875506/33919/B01","SCBRAN","=1140891890/22807","tail"
"/=1140875506/33919/B03","SCBRAN","=1140891890/22787","head"
"/=1140875506/33919/B03","SCBRAN","=1140891890/22805","tail"
"=1140891890/22805","SCBRAN","/=1140875506/33919/B03","head"
"=1140891890/22805","SCBRAN","Unset","tail"
"=1140891890/22807","SCBRAN","/=1140875506/33919/B01","head"
"=1140891890/22807","SCBRAN","Unset","tail"
"/ASBJ-ILINE-0321-0004/B01","SCBRAN","=1140867314/176101","head"
"/ASBJ-ILINE-0321-0004/B01","SCBRAN","Unset","tail"
"/ASBJ-ILINE-0321-0004/B02","SCBRAN","=1140867314/176212","head"
"/ASBJ-ILINE-0321-0004/B02","SCBRAN","=1140867314/176226","tail"
"/ASBJ-ILINE-0321-0004/B03","SCBRAN","=1140867314/176226","head"
"/ASBJ-ILINE-0321-0004/B03","SCBRAN","=1140867314/176224","tail"
"/ASBJ-ILINE-0321-0004/B04","SCBRAN","=1140867314/248595","head"
"/ASBJ-ILINE-0321-0004/B04","SCBRAN","=1140883698/33048","tail"
"/=1140867314/176087/B01","SCBRAN","Unset","head"
