"ObjNAME","ObjTYPE","ObjREFERENCE"
"=1140867314/177312","SCFITT","/=1140867314/177253/B04","SCBRAN"
"=1140867314/249634","SCFITT","/=1140867314/177253/B01","SCBRAN"
"=1140867314/177332","SCFITT","/=1140867314/177318/B03","SCBRAN"
"=1140867314/177350","SCFITT","/=1140867314/177318/B04","SCBRAN"
"=1140891890/17706","SCFITT","/=1140867314/177318/B01","SCBRAN"
"=1140875506/98880","SCFITT","=1140883698/33136","SCBRAN"
"=1140867314/228537","SCFITT","/=1140867314/228524/B02","SCBRAN"
"=1140891890/48607","SCFITT","/=1140875506/35922/B01","SCBRAN"
"=1140867314/228650","SCFITT","/=1140867314/177516/B02","SCBRAN"
"=1140875506/98910","SCFITT","/=1140867314/177516/B04","SCBRAN"
"=1140867314/228656","SCFITT","/=1140867314/177516/B03","SCBRAN"
"=1140875506/78836","SCFITT","/=1140867314/177565/B02","SCBRAN"
"=1140875506/78830","SCFITT","/=1140867314/177565/B02","SCBRAN"
"=1140867314/182800","SCFITT","/=1140867314/177565/B01","SCBRAN"
"=1140867314/249554","SCFITT","/=1140867314/177691/B01","SCBRAN"
"=1140867314/177969","SCFITT","/=1140867314/177749/B02","SCBRAN"
"=1140867314/177979","SCFITT","/=1140867314/177749/B02","SCBRAN"
"=1140867314/178086","SCFITT","/=1140883698/29072/B01","SCBRAN"
"=1140867314/177715","SCFITT","/=1140867314/177614/B02","SCBRAN"
"=1140891890/23202","SCFITT","/=1140867314/177614/B03","SCBRAN"
"=1140867314/177756","SCFITT","/=1140867314/177749/B01","SCBRAN"
"=1140883698/29090","SCFITT","/=1140867314/177763/B02","SCBRAN"
"=1140883698/29094","SCFITT","/=1140867314/177763/B02","SCBRAN"
"=1140883698/29100","SCFITT","/=1140883698/29156/B01","SCBRAN"
"=1140891890/23210","SCFITT","/=1140867314/176114/B01","SCBRAN"
"=1140867314/177936","SCFITT","/=1140867314/177832/B06","SCBRAN"
"=1140867314/177884","SCFITT","/=1140867314/177832/B04","SCBRAN"
"=1140867314/177872","SCFITT","/=1140867314/177832/B03","SCBRAN"
"=1140867314/177858","SCFITT","/=1140867314/177832/B02","SCBRAN"
"=1140867314/177894","SCFITT","/=1140867314/177841/B02","SCBRAN"
"=1140867314/177908","SCFITT","/=1140867314/177841/B03","SCBRAN"
"=1140867314/178068","SCFITT","/=1140867314/178059/B02","SCBRAN"
"=1140867314/178082","SCFITT","/=1140883698/29072/B01","SCBRAN"
"=1140867314/178133","SCFITT","/=1140867314/178059/B03","SCBRAN"
"=1140867314/178143","SCFITT","/=1140867314/178059/B03","SCBRAN"
"=1140883698/29074","SCFITT","/=1140883698/29073/B01","SCBRAN"
"=1140867314/178207","SCFITT","Unconnected"
"=1140867314/178215","SCFITT","/=1140867314/178202/B04","SCBRAN"
"=1140867314/178219","SCFITT","/=1140867314/178202/B03","SCBRAN"
"=1140867314/178223","SCFITT","/=1140867314/178202/B02","SCBRAN"
"=1140867314/178299","SCFITT","Unconnected"
"=1140867314/178303","SCFITT","/=1140883698/29073/B01","SCBRAN"
"=1140867314/178336","SCFITT","/=1140867314/178294/B02","SCBRAN"
"=1140867314/178348","SCFITT","/=1140867314/178294/B02","SCBRAN"
"=1140891890/22765","SCFITT","/=1140867314/179142/B01","SCBRAN"
"=1140891890/22773","SCFITT","/=1140900082/11185/B01","SCBRAN"
"=1140867314/249572","SCFITT","/=1140875506/33958/B01","SCBRAN"
"=1140867314/178232","SCFITT","/=1140867314/178227/B02","SCBRAN"
"=1140867314/178236","SCFITT","/=1140867314/178227/B03","SCBRAN"
"=1140867314/248619","SCFITT","/=1140891890/19543/B01","SCBRAN"
"=1140891890/19586","SCFITT","/ASBJ-ILINE-0326-0001/B05","SCBRAN"
"=1140891890/19594","SCFITT","/ASBJ-ILINE-0326-0001/B06","SCBRAN"
"=1140891890/19606","SCFITT","/ASBJ-ILINE-0326-0001/B08","SCBRAN"
"=1140891890/19652","SCFITT","/ASBJ-ILINE-0326-0001/B10","SCBRAN"
"=1140891890/19660","SCFITT","/ASBJ-ILINE-0326-0001/B11","SCBRAN"
"=1140891890/19672","SCFITT","/ASBJ-ILINE-0326-0001/B13","SCBRAN"
"=1140883698/73390","SCFITT","/=1140891890/18898/B01","SCBRAN"
"=1140867314/249604","SCFITT","/=1140875506/33919/B01","SCBRAN"
"=1140867314/249588","SCFITT","/=1140900082/10826/B01","SCBRAN"
"=1140867314/249582","SCFITT","/=1140900082/11349/B01","SCBRAN"
"=1140891890/22777","SCFITT","/=1140900082/11500/B01","SCBRAN"
"=1140883698/29113","SCFITT","/=1140883698/29109/B06","SCBRAN"
"=1140883698/29119","SCFITT","/=1140883698/29109/B04","SCBRAN"
"=1140883698/29121","SCFITT","/=1140883698/29109/B03","SCBRAN"
"=1140883698/29123","SCFITT","/=1140883698/29109/B02","SCBRAN"
"=1140883698/29144","SCFITT","/=1140883698/29140/B02","SCBRAN"
"=1140883698/29146","SCFITT","/=1140883698/29140/B03","SCBRAN"
"=1140883698/29206","SCFITT","/=1140883698/29202/B02","SCBRAN"
"=1140883698/29208","SCFITT","/=1140883698/29156/B01","SCBRAN"
"=1140883698/29214","SCFITT","/=1140883698/29202/B03","SCBRAN"
"=1140883698/29218","SCFITT","/=1140883698/29202/B03","SCBRAN"
"=1140883698/29222","SCFITT","/=1140883698/29232/B01","SCBRAN"
"=1140883698/29264","SCFITT","/=1140883698/29260/B05","SCBRAN"
"=1140883698/29268","SCFITT","/=1140883698/29260/B04","SCBRAN"
"=1140883698/29270","SCFITT","/=1140883698/29260/B03","SCBRAN"
"=1140883698/29272","SCFITT","/=1140883698/29260/B02","SCBRAN"
"=1140883698/29287","SCFITT","/=1140883698/29283/B03","SCBRAN"
"=1140883698/29289","SCFITT","/=1140883698/29232/B01","SCBRAN"
"=1140883698/29295","SCFITT","/=1140883698/29283/B02","SCBRAN"
"=1140883698/29299","SCFITT","/=1140883698/29283/B02","SCBRAN"
"=1140883698/29318","SCFITT","/=1140883698/29314/B02","SCBRAN"
"=1140883698/29320","SCFITT","/=1140883698/29314/B03","SCBRAN"
"=1140867314/248637","SCFITT","/=1140883698/29357/B02","SCBRAN"
"=1140883698/29370","SCFITT","/ASBJ-ILINE-0327-0002/B04","SCBRAN"
"=1140883698/29372","SCFITT","/ASBJ-ILINE-0327-0002/B05","SCBRAN"
"=1140883698/29383","SCFITT","/ASBJ-ILINE-0327-0002/B07","SCBRAN"
"=1140883698/29391","SCFITT","/ASBJ-ILINE-0327-0002/B09","SCBRAN"
"=1140883698/29393","SCFITT","/ASBJ-ILINE-0327-0002/B10","SCBRAN"
"=1140883698/29404","SCFITT","/ASBJ-ILINE-0327-0002/B12","SCBRAN"
"=1140883698/51520","SCFITT","/ASAS-ILINE-0328-0001/B01","SCBRAN"
