Column1,ObjNAME,ObjTYPE,Path,ObjREFERENCE,ObjREFERENCEtype,,
72,/ASBHA-EP-3835,SCEQUI,/ASBHA-EP-3835/N2,"/ASBH-8""-OCS-383504-BD2/B03",SCBRAN,,"/ASBH-10""-OCS-380104-BD2/B05"
74,/ASBHA-EP-3835,SCEQUI,/ASBHA-EP-3835/N2,"/ASBH-8""-OCS-383504-BD2/B04",SCBRAN,,"/ASBH-10""-OCS-380104-BD2/B06"
76,/ASBHA-EP-3835,SCEQUI,/ASBHA-EP-3835/N2,"/ASBH-8""-OCS-383513-BD2/B01",SCBRAN,,"/ASBH-10""-OCS-380113-BD2/B01"
78,/ASBHA-EP-3835,SCEQUI,/ASBHA-EP-3835/N2,"/ASBH-8""-OCS-383504-BD2/B06",SCBRAN,,"/ASBH-12""-OCS-380504-BD2/B08"
80,/ASBHA-EP-3835,SCEQUI,/ASBHA-EP-3835/N2,"/ASBH-8""-OCS-383504-BD2/B05",SCBRAN,,"/ASBH-2""-OCS-380103-BD1/B01"
83,/ASBHA-EP-3835,SCEQUI,/ASBHA-EP-3835/N6,"/ASBH-2""-OCS-384077-BD1/B01",SCBRAN,,"/ASBH-2""-OCS-380106-BD1/B01"
87,/ASBHA-EJ-3523,SCEQUI,=1073763642/120647,"/ASBH-6""-WI-350017-AR1/B02",SCBRAN,,"/ASBH-2""-OCS-384064-BD1/B01"
88,/ASBHA-EJ-3523,SCEQUI,=1073763642/120646,"/ASBH-6""-WI-356193-AR1/B01",SCBRAN,,"/ASBH-2""-OCS-384065-BD1/B01"
89,/ASBHA-EJ-3523,SCEQUI,=1073763642/120647,"/ASBH-6""-WI-350017-AR1/B03",SCBRAN,,"/ASBH-3""-OCS-380102-BD1/B01"
91,/ASBHA-EJ-3523,SCEQUI,=1073763642/120646,"/ASBH-6""-WI-356194-AR1/B01",SCBRAN,,"/ASBH-4""-OCS-380101-BD1/B01"
92,/ASBHA-P-4001,SCEQUI,/ASBHA-P-4001/N2,"/ASBH-3""-DPS-400408-BX1/B01",SCBRAN,,/ASBHA-EP-3802
93,/ASBHA-P-4001,SCEQUI,/ASBHA-P-4001/N1,"/ASBH-6""-DPS-400403-BX1/B02",SCBRAN,,"/ASBH-12""-OCS-380504-BD2/B08"
94,/ASBHA-P-4001,SCEQUI,/ASBHA-P-4001/N2,"/ASBH-3""-DPS-400408-BX1/B10",SCBRAN,,"/ASBH-14""-OCS-380213-BD2/B01"
96,/ASBHA-P-4001,SCEQUI,/ASBHA-P-4001/N2,"/ASBH-3""-DPS-400408-BX1/B04",SCBRAN,,"/ASBH-16""-OCS-380204-BD2/B07"
98,/ASBHA-P-4001,SCEQUI,/ASBHA-P-4001/N2,"/ASBH-3""-DPS-400408-BX1/B09",SCBRAN,,"/ASBH-16""-OCS-380204-BD2/B09"
100,/ASBHA-P-4001,SCEQUI,/ASBHA-P-4001/N2,"/ASBH-3""-DPS-400408-BX1/B05",SCBRAN,,"/ASBH-2""-OCS-380203-BD1/B01"
102,/ASBHA-P-4001,SCEQUI,/ASBHA-P-4001/N2,"/ASBH-2""-DPS-400411-BX1/B01",SCBRAN,,"/ASBH-2""-OCS-380206-BD1/B01"
104,/ASBHA-P-4001,SCEQUI,/ASBHA-P-4001/N2,"/ASBH-3""-DPS-400417-BX1/B01",SCBRAN,,"/ASBH-2""-OCS-384066-BD1/B01"
106,/ASBHA-P-4001,SCEQUI,/ASBHA-P-4001/N2,"/ASBH-3""-DPS-400408-BX1/B02",SCBRAN,,"/ASBH-2""-OCS-384067-BD1/B01"
108,/ASBHA-P-4001,SCEQUI,/ASBHA-P-4001/N1,"/ASBH-6""-DPS-400407-BX1/B06",SCBRAN,,"/ASBH-3""-OCS-380202-BD1/B01"
109,/ASBHA-P-4001,SCEQUI,/ASBHA-P-4001/N1,"/ASBH-6""-DPS-400403-BX1/B01",SCBRAN,,"/ASBH-4""-OCS-380201-BD1/B01"
112,/ASBHA-P-4001,SCEQUI,/ASBHA-P-4001/N2,"/ASBH-3""-DPS-400417-BX1/B07",SCBRAN,,/ASBHA-EP-3803
114,/ASBHA-P-4001,SCEQUI,/ASBHA-P-4001/N2,"/ASBH-3""-DPS-400417-BX1/B02",SCBRAN,,"/ASBH-10""-OCS-380304-BD2/B01"
116,/ASBHA-P-4001,SCEQUI,/ASBHA-P-4001/N2,"/ASBH-3""-DPS-400417-BX1/B06",SCBRAN,,"/ASBH-10""-OCS-380304-BD2/B02"
118,/ASBHA-P-4001,SCEQUI,/ASBHA-P-4001/N2,"/ASBH-3""-DPS-400417-BX1/B03",SCBRAN,,"/ASBH-10""-OCS-380304-BD2/B03"
