"ObjNAME","ObjTYPE","ObjREFERENCE"
"/PFD-ASBJA-FC-342138","SCOINS","/ASBJ-ILINE-0341-0001/B03"
"/PFD-ASBJA-LC-342138","SCOINS","/PFD-ASBJA-V-3421"
"/PFD-ASBJA-LC-342138","SCOINS","/PFD-ASBJA-FC-342138"
"/PFD-ASBJA-FT-342149","SCOINS","=1140883698/39559"
"/PFD-ASBJA-FT-342149","SCOINS","/PFD-ASBJA-FC-342149"
"/PFD-ASBJA-FT-342151","SCOINS","=1140883698/39567"
"/PFD-ASBJA-PT-342127","SCOINS","/ASBJ-ILINE-0341-0001/B07"
"/PFD-ASBJA-PT-342127","SCOINS","/PFD-ASBJA-V-3421"
"/PFD-ASBJA-LT-342130","SCOINS","/ASBJ-ILINE-0341-0001/B05"
"/PFD-ASBJA-LT-342130","SCOINS","/PFD-ASBJA-V-3421"
"/PFD-ASBJA-PT-342143","SCOINS","=1140883698/39805"
"/PFD-ASBJA-PT-342143","SCOINS","/PFD-ASBJA-P-3421"
"/PFD-ASBJA-PT-342142","SCOINS","=1140883698/39806"
"/PFD-ASBJA-PT-342142","SCOINS","/PFD-ASBJA-P-3421"
"/PFD-ASBJA-PT-342141","SCOINS","=1140883698/39809"
"/PFD-ASBJA-PT-342141","SCOINS","=1140883698/39578"
"/PFD-ASBJA-PT-342144","SCOINS","/ASBJ-ILINE-0341-0001/B09"
"/PFD-ASBJA-PT-342144","SCOINS","=1140883698/39558"
"/PFD-ASBJA-FC-342149","SCOINS","=1140883698/39753"
"/PFD-ASBJA-LT-342128","SCOINS","=1140883698/39815"
"/PFD-ASBJA-LT-342128","SCOINS","/PFD-ASBJA-V-3421"
"/PFD-ASBJA-FC-341275B","SCOINS","=1140891890/29700"
"/PFD-ASBJA-PC-340202","SCOINS","/=1140867314/203006/B01"
"/PFD-ASBJA-PC-340202","SCOINS","=1140867314/203018"
"/PFD-ASBJA-AT-360210","SCOINS","/=1140867314/202961/B02"
"/PFD-ASBJA-FT-360111","SCOINS","=1140867314/202923"
"/PFD-ASBJA-FT-340204","SCOINS","No refs"
"/PFD-ASBJA-DI-340204","SCOINS","=1140867314/202931"
"/PFD-ASBJA-XI-340204","SCOINS","No refs"
"/PFD-ASBJA-FC-340204","SCOINS","/ASBJ-ILINE-0342-0001/B02"
"/PFD-ASBJA-FC-340204","SCOINS","/PFD-ASBJA-FT-340204"
"/PFD-ASBJA-LC-340204","SCOINS","/=1140867314/203054/B01"
"/PFD-ASBJA-LC-340204","SCOINS","/PFD-ASBJA-FC-340204"
"/PFD-ASBJA-PC-340109","SCOINS","No refs"
"/PFD-ASBJA-FC-340110","SCOINS","=1140867314/203089"
"/PFD-ASBJA-FC-340111","SCOINS","/=1140867314/202832/B02"
"/PFD-ASBJA-FC-340111","SCOINS","=1140867314/203094"
"/PFD-ASBJA-PT-340107A","SCOINS","/PFD-ASBJA-PDC-340107"
"/PFD-ASBJA-PDC-340107","SCOINS","/PFD-ASBJA-PT-340107B"
"/PFD-ASBJA-AT-500121","SCOINS","/=1140867314/206904/B01"
"/PFD-ASBJA-PT-340107B","SCOINS","/=1140867314/202786/B02"
"/PFD-ASBJA-FT-340207","SCOINS","=1140867314/203027"
"/PFD-ASBJA-PT-340201","SCOINS","/=1140883698/40319/B01"
"/PFD-ASBJA-PT-340201","SCOINS","=1140900082/15947"
"/PFD-ASBJA-LT-340203","SCOINS","/=1140883698/40355/B01"
"/PFD-ASBJA-LT-340203","SCOINS","/ASBJ-ILINE-0343-0001/B02"
"/PFD-ASBJA-PT-340127","SCOINS","/=1140883698/40502/B02"
"/PFD-ASBJA-PT-340127","SCOINS","=1140883698/40478"
"/PFD-ASBJA-PT-340129","SCOINS","/=1140883698/40552/B01"
"/PFD-ASBJA-FC-360111","SCOINS","=1140867314/203047"
"/PFD-ASBJA-FC-360111","SCOINS","/PFD-ASBJA-FT-360111"
"/PFD-ASBJA-PT-360103","SCOINS","/=1140867314/210213/B01"
"/PFD-ASBJA-PT-360103","SCOINS","/ASBJ-ILINE-0343-0001/B04"
"/PFD-ASBJA-PT-360102","SCOINS","/=1140867314/210242/B01"
"/PFD-ASBJA-PT-360106","SCOINS","/=1140867314/210255/B01"
"/PFD-ASBJA-PT-360105","SCOINS","/=1140867314/210264/B01"
"/PFD-ASBJA-PT-420358","SCOINS","=1140867314/221243"
"/PFD-ASBJA-PT-420358","SCOINS","=1140891890/40553"
"/PFD-ASBJA-LC-420353","SCOINS","/PFD-ASBJA-V-4203"
"/PFD-ASBJA-LC-420353","SCOINS","=1140891890/38549"
"/PFD-ASBJA-PT-420351","SCOINS","/=1140867314/221422/B03"
"/PFD-ASBJA-PT-420351","SCOINS","=1140891890/40576"
"/PFD-ASBJA-FT-420350A","SCOINS","/=1140867314/221422/B05"
"/PFD-ASBJA-FT-420350A","SCOINS","/PFD-ASBJA-FE-420350"
"/PFD-ASBJA-TC-420358","SCOINS","=1140867314/221289"
"/PFD-ASBJA-TC-420358","SCOINS","=1140891890/38561"
"/PFD-ASBJA-TC-420358","SCOINS","=1140908274/7149"
"/PFD-ASBJA-TC-420358","SCOINS","=1140908274/7134"
"/PFD-ASBJA-PT-420357","SCOINS","=1140867314/221305"
"/PFD-ASBJA-PT-420357","SCOINS","=1140867314/221315"
"/PFD-ASBJA-PT-420353","SCOINS","=1140867314/221354"
"/PFD-ASBJA-PT-420353","SCOINS","=1140891890/38525"
"/PFD-ASBJA-TT-420353","SCOINS","=1140867314/221358"
"/PFD-ASBJA-TT-420353","SCOINS","=1140891890/38525"
"/PFD-ASBJA-LT-420351","SCOINS","/PFD-ASBJA-V-4203"
"/PFD-ASBJA-LT-420351","SCOINS","/ASBJA-SIG-P-LT-400351-1"
"/PFD-ASBJA-LT-420352","SCOINS","=1140891890/40512"
"/PFD-ASBJA-LT-420352","SCOINS","/PFD-ASBJA-V-4203"
"/PFD-ASBJA-FT-420351A","SCOINS","/=1140867314/232461/B01"
"/PFD-ASBJA-FT-420351A","SCOINS","/PFD-ASBJA-FE-420351"
"/PFD-ASBJA-PT-420359","SCOINS","=1140867314/232524"
"/PFD-ASBJA-PT-420359","SCOINS","=1140867314/232521"
"/PFD-ASBJA-PC-420351","SCOINS","/=1140867314/221422/B03"
"/PFD-ASBJA-PC-420351","SCOINS","/=1140867314/221422/B07"
"/ASBJA-SIG-P-LT-400351-1","SCOINS","No refs"
"/PFD-ASBJA-PT-420355","SCOINS","/ASBJA-SIG-P-PT-420355-1"
"/PFD-ASBJA-PT-420355","SCOINS","=1140891890/40663"
"/ASBJA-SIG-P-PT-420355-1","SCOINS","No refs"
"/PFD-ASBJA-TT-420355","SCOINS","/ASBJA-SIG-P-PT-420355-2"
"/PFD-ASBJA-TT-420355","SCOINS","=1140891890/40663"
"/ASBJA-SIG-P-PT-420355-2","SCOINS","No refs"
"/ASBJA-SIG-S-SDV-420335-4","SCOINS","=1140891890/40716"
"/PFD-ASBJA-PC-420333A/B/C","SCOINS","/ASBJ-ILINE-0344-0001/B02"
"/PFD-ASBJA-PC-420333A/B/C","SCOINS","/ASBJ-ILINE-0344-0001/B01"
"/PFD-ASBJA-PC-420333A/B/C","SCOINS","/=1140867314/203684/B02"
"/PFD-ASBJA-LC-421103","SCOINS","=1140867314/203999"
"/PFD-ASBJA-LC-421103","SCOINS","/PFD-ASBJA-V-4211"
"/PFD-ASBJA-TC-421129","SCOINS","/=1140867314/203823/B02"
"/PFD-ASBJA-TC-421129","SCOINS","=1140908274/7092"
"/PFD-ASBJA-LC-431105","SCOINS","=1140867314/204027"
"/PFD-ASBJA-LC-431105","SCOINS","/PFD-ASBJA-V-4311"
"/PFD-ASBJA-TC-431133","SCOINS","No refs"
"/PFD-ASBJA-PT-421114","SCOINS","/=1140867314/203959/B03"
"/PFD-ASBJA-PT-421114","SCOINS","/=1140867314/204093/B12"
"/PFD-ASBJA-FT-421109","SCOINS","/=1140867314/204093/B14"
"/PFD-ASBJA-FT-421109","SCOINS","/=1140867314/203959/B06"
"/PFD-ASBJA-FT-421109","SCOINS","/=1140867314/203959/B07"
"/PFD-ASBJA-TT-421111","SCOINS","/=1140867314/204093/B13"
"/PFD-ASBJA-PT-421120","SCOINS","/=1140867314/203943/B02"
"/PFD-ASBJA-PT-421120","SCOINS","/=1140867314/204093/B16"
"/PFD-ASBJA-TT-421116","SCOINS","/=1140867314/203943/B03"
"/PFD-ASBJA-TT-421116","SCOINS","/=1140867314/204093/B15"
"/PFD-ASBJA-PT-431122","SCOINS","/=1140867314/204030/B03"
"/PFD-ASBJA-PT-431122","SCOINS","/=1140875506/53745/B01"
"/PFD-ASBJA-TT-431119","SCOINS","/=1140867314/204030/B02"
"/PFD-ASBJA-TT-431119","SCOINS","/=1140875506/53745/B02"
"/PFD-ASBJA-PT-431116","SCOINS","/=1140867314/204046/B02"
"/PFD-ASBJA-PT-431116","SCOINS","=1140891890/48886"
"/PFD-ASBJA-TT-431113","SCOINS","/=1140867314/204046/B03"
"/PFD-ASBJA-TT-431113","SCOINS","/=1140875506/53745/B03"
"/PFD-ASBJA-FT-431112","SCOINS","/=1140875506/53745/B04"
"/PFD-ASBJA--40G-CB","SCOINS","=1140867314/203936"
"/PFD-ASBJA--400810","SCOINS","=1140867314/204079"
"/PFD-ASBJA-LT-421104","SCOINS","/ASBJ-ILINE-0345-0017/B01"
"/PFD-ASBJA-LT-421104","SCOINS","/PFD-ASBJA-V-4211"
"/PFD-ASBJA-LT-431106","SCOINS","/ASBJ-ILINE-0345-0018/B01"
"/PFD-ASBJA-LT-431106","SCOINS","/PFD-ASBJA-V-4311"
"/PFD-ASBJA--40G-C","SCOINS","=1140867314/203992"
"/PFD-ASBJA-PDT-421136","SCOINS","=1140867314/203917"
"/PFD-ASBJA-PDT-421136","SCOINS","=1140867314/203909"
"/PFD-ASBJA-TT-431132","SCOINS","/=1140875506/53990/B01"
"/PFD-ASBJA-TT-431132","SCOINS","/ASBJ-ILINE-0345-0020/B01"
"/PFD-ASBJA-PDT-431115","SCOINS","/ASBJ-ILINE-0345-0026/B01"
"/PFD-ASBJA-PDT-431115","SCOINS","/=1140875506/53741/B01"
"/PFD-ASBJA-PT-431121","SCOINS","/=1140875506/53773/B01"
"/PFD-ASBJA-PT-431121","SCOINS","/ASBJ-ILINE-0345-0027/B01"
"/PFD-ASBJA-TT-431120","SCOINS","/=1140875506/53777/B01"
"/PFD-ASBJA-TT-431120","SCOINS","/ASBJ-ILINE-0345-0028/B01"
"/PFD-ASBJA-ESD3-27G-CB","SCOINS","=1140875506/53858"
"/PFD-ASBJA-PT-801112","SCOINS","/=1140875506/53878/B01"
"/PFD-ASBJA-PT-801112","SCOINS","/ASBJ-ILINE-0345-0029/B01"
"/PFD-ASBJA-PT-801106","SCOINS","/=1140875506/53575/B01"
"/PFD-ASBJA-PT-801106","SCOINS","/ASBJ-ILINE-0345-0025/B01"
"/PFD-ASBJA-TT-421118","SCOINS","/=1140875506/53513/B01"
"/PFD-ASBJA-TT-421118","SCOINS","/ASBJ-ILINE-0345-0024/B01"
"/PFD-ASBJA-PT-421119","SCOINS","/=1140875506/53485/B01"
